timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec
2026-04-26T17:58:12.399Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,here it is ,neutral,here it is,textMessageEvent,,15121.435
2026-04-26T17:58:14.244Z,UC8yPRwk9JZQlCykJSgfeFww,@haldern501,passionate crowds are fun but not when they're only supporting one team and treating the other games like a pantomime ,neutral,passionate crowds are,textMessageEvent,,15123.28
2026-04-26T17:58:15.496Z,UCaUrKWNHTVbzVb1VqVBTYRg,@businesstime15,YEAH,high-energy,all caps reaction,textMessageEvent,,15124.532
2026-04-26T17:58:17.906Z,UCtfYOoRXSdM4X_7lKZ0pzkw,@Pannister,？？？,neutral,symbol-only message,textMessageEvent,,15126.942
2026-04-26T17:58:18.372Z,UCAAgn1-4KlF4Fo6rPKw6Amw,@KrazyCouch2,PENTAKILLLLLLLL,high-energy,all caps reaction,textMessageEvent,,15127.319
2026-04-26T17:58:20.679Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,yesssssss,neutral,yesssssss,textMessageEvent,,15129.661
2026-04-26T17:58:21.900Z,UCSnniqW8FUKEVw6QH0QGrIw,@Normantime,GGGG,high-energy,all caps reaction,textMessageEvent,,15131.037
2026-04-26T17:58:22.148Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,parus I love you,neutral,parus i love,textMessageEvent,,15131.214
2026-04-26T17:58:23.352Z,UCNYfMCeu37JyaTsRcAe4f6Q,@SmittyWerbenJeggarManJensen,ah finally,neutral,ah finally,textMessageEvent,,15132.49
2026-04-26T17:58:26.518Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,@@딸기할배유 -> Piece of cake. [stop spamming words/phrases],neutral,piece of cake,textMessageEvent,,15135.66
2026-04-26T17:58:27.297Z,UCaUrKWNHTVbzVb1VqVBTYRg,@businesstime15,goooooo,neutral,goooooo,textMessageEvent,,15136.319
2026-04-26T17:58:30.052Z,UCSjppbG42UVcJbI-O5SCxBw,@kishiiiiiiiiiii,gg,positive,praise,textMessageEvent,,15139.112
2026-04-26T17:58:30.392Z,UCjWHI526eSG34OBxr1jL9pQ,@emanuelsantana3517,ohhhh,neutral,ohhhh,textMessageEvent,,15139.488
2026-04-26T17:58:31.739Z,UC5R-DByk8YwEVXMrWF3e3jw,@asiyt_,Nice ad Kennen,positive,praise,textMessageEvent,,15140.763
2026-04-26T17:58:32.142Z,UCDcrQfmsHRJk99n9sBAcEOQ,@gabrielcarvajal5666,OHHH,high-energy,all caps reaction,textMessageEvent,,15141.031
2026-04-26T17:58:32.256Z,UCP5AQFS9OEdVXxUTax2yL6w,@mynameismare,PENTAAAAA GOSTTTTT,high-energy,all caps reaction,textMessageEvent,,15141.148
2026-04-26T17:58:34.698Z,UC8Cvq3NTbtdebsXyuHMmERw,@pgcalm,POBYYYY,high-energy,all caps reaction,textMessageEvent,,15143.59
2026-04-26T17:58:35.197Z,UChr3enDEe8LnAwLKpZsCH3A,@TranHuy-mg1xh,GOST,high-energy,all caps reaction,textMessageEvent,,15144.171
2026-04-26T17:58:35.284Z,UCWC9OQlZ2G8QSflXamtRQJA,@parad0x_223,WWWWWW,high-energy,all caps reaction,textMessageEvent,,15144.179
2026-04-26T17:58:35.371Z,UC9UtvRyj0eUGpoiutlnDVyg,@LovelyBoaSnake-te8pn,MYGOST,high-energy,all caps reaction,textMessageEvent,,15144.331
2026-04-26T17:58:35.398Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,"thank youuuuuu, PObyyyyyyy",neutral,thank youuuuuu pobyyyyyyy,textMessageEvent,,15144.35
2026-04-26T17:58:35.584Z,UCTZ3eS6H4sTI6dvBxrDn-0Q,@OneWingedRose,PENTAKILLLL,high-energy,all caps reaction,textMessageEvent,,15144.478
