timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec
2026-05-04T19:54:51.390Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,shft scales better,neutral,shft scales better,textMessageEvent,,22145.303
2026-05-04T19:54:58.639Z,UCAAgn1-4KlF4Fo6rPKw6Amw,@KrazyCouch2,"The Varus is the paper, the Naafiri is the scissors.",neutral,the varus is,textMessageEvent,,22152.448
2026-05-04T19:55:00.630Z,UCdgKeCGqv96fga2CNr7Fb1A,@Trungdeptraiss,2-7,neutral,2 7,textMessageEvent,,22154.47
2026-05-04T19:55:13.570Z,UCAAgn1-4KlF4Fo6rPKw6Amw,@KrazyCouch2,Empyros Gnar is the rock.,neutral,empyros gnar is,textMessageEvent,,22167.593
2026-05-04T19:55:14.961Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,damnnn,neutral,damnnn,textMessageEvent,,22168.983
2026-05-04T19:55:17.175Z,UCzwirukwfVJ-4j7yKEAXbNQ,@richardlove106,WHAT AN ULT,high-energy,all caps reaction,textMessageEvent,,22171.085
2026-05-04T19:55:21.253Z,UCzwirukwfVJ-4j7yKEAXbNQ,@richardlove106,Go crazyyy,neutral,go crazyyy,textMessageEvent,,22175.198
2026-05-04T19:55:28.972Z,UCXqOfa7BCzWjaVxYBUuGlMQ,@therosecats5298,"So much used all for a death, ouchies",neutral,so much used,textMessageEvent,,22183.045
2026-05-04T19:55:31.626Z,UC9hXKV3SMQg0ZhGfhOGEN0w,@RillPoochy,varus cant do anything,neutral,varus cant do,textMessageEvent,,22185.694
2026-05-04T19:55:32.818Z,UCrGlxuAa053Ed0brtx0i55Q,@QuânTrầnLê-c7j,"Myrwin is a terrible player, why mkoi always give him carry champ?",questioning,question,textMessageEvent,,22186.849
2026-05-04T19:55:32.844Z,UCfZWmALMNg91PUvLmLubM-A,@KDAevelyn,varus lmao,positive/humor,laughing reaction,textMessageEvent,,22186.882
2026-05-04T19:55:35.043Z,UCzwirukwfVJ-4j7yKEAXbNQ,@richardlove106,LMAOO VARUS CANT DO ANYTHING I LOVE IT,positive/humor,laughing reaction,textMessageEvent,,22189.077
2026-05-04T19:55:38.630Z,UCqUrwk7MYafQW8iwWss6rfA,@frostybilly,deserved for varus top,neutral,deserved for varus,textMessageEvent,,22192.523
2026-05-04T19:55:44.694Z,UCdgKeCGqv96fga2CNr7Fb1A,@Trungdeptraiss,Shft,neutral,shft,textMessageEvent,,22198.571
2026-05-04T19:55:50.222Z,UCRNoR89ydnEjI3DtTLUezwQ,@pepajust4099,how did the observer know hes about to engage,neutral,how did the,textMessageEvent,,22204.211
2026-05-04T19:55:56.672Z,UCIYbG6Hzl5m_1M9VHRaQuWA,@AAA4722-s7o,varus top losing :),neutral,varus top losing,textMessageEvent,,22210.725
2026-05-04T19:56:05.344Z,UCzwirukwfVJ-4j7yKEAXbNQ,@richardlove106,Varus can't leave turret you LOVE TO SEE IT,neutral,varus can't leave,textMessageEvent,,22219.389
2026-05-04T19:56:05.771Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,22219.814
2026-05-04T19:56:07.747Z,UCTZ3eS6H4sTI6dvBxrDn-0Q,@OneWingedRose,@pepajust4099 psychic powers,neutral,pepajust4099 psychic powers,textMessageEvent,,22221.815
2026-05-04T19:56:23.181Z,UC9hXKV3SMQg0ZhGfhOGEN0w,@RillPoochy,nafiri ez win,neutral,nafiri ez win,textMessageEvent,,22237.162
2026-05-04T19:56:23.953Z,UCbHaB7UofkDCNoZ73O1DZTQ,@buggydev-t7b,Why varus top?,questioning,question,textMessageEvent,,22237.9
2026-05-04T19:56:29.864Z,UC9yzSbGP2JUYBvVxfB96MCg,@MrFantaSsTic666,why are they playing bo3s? is it playoffs or what,questioning,question,textMessageEvent,,22243.835
2026-05-04T19:56:35.796Z,UCAAgn1-4KlF4Fo6rPKw6Amw,@KrazyCouch2,EEEEEEZZZZZZZZZZZZ,high-energy,all caps reaction,textMessageEvent,,22249.842
2026-05-04T19:56:41.922Z,UCx0Y6Oqngda5W7uJovdgJ9A,@homur7483,brother,neutral,brother,textMessageEvent,,22255.937
2026-05-04T19:56:45.070Z,UCIYbG6Hzl5m_1M9VHRaQuWA,@AAA4722-s7o,SOLO BOLO,high-energy,all caps reaction,textMessageEvent,,22259.102
2026-05-04T19:56:45.977Z,UCzwirukwfVJ-4j7yKEAXbNQ,@richardlove106,Varus is pretty strong top IF your opponent doesnt know what they're doing,neutral,varus is pretty,textMessageEvent,,22259.992
2026-05-04T19:56:47.108Z,UCx0Y6Oqngda5W7uJovdgJ9A,@homur7483,regular season is bo3s,neutral,regular season is,textMessageEvent,,22261.142
2026-05-04T19:56:49.328Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,its gg...,neutral,its gg,textMessageEvent,,22263.36
2026-05-04T19:56:49.722Z,UCWcfLd-YWzZzv1zBGLDdC8Q,@Nnn-st1mi,supermarket,neutral,supermarket,textMessageEvent,,22263.789
2026-05-04T19:56:50.193Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,LETSGOOO,high-energy,all caps reaction,textMessageEvent,,22264.224
2026-05-04T19:56:51.431Z,UCqmRXKT4huGhhMbS9w1mLUg,@motnurky7055,SUUUUPA ELYOOOOYA,high-energy,all caps reaction,textMessageEvent,,22265.496
2026-05-04T19:56:51.670Z,UCW1Ckd-NGG7EUSJif37FpEg,@SometimesIGetAGoodFeeling,mkoi draft suuucks,neutral,mkoi draft suuucks,textMessageEvent,,22265.566
2026-05-04T19:56:53.156Z,UCx0Y6Oqngda5W7uJovdgJ9A,@homur7483,like in every other league,neutral,like in every,textMessageEvent,,22267.054
2026-05-04T19:56:55.814Z,UCjsL1ED3gX_9tVRCsErHPQA,@Fibro-b2s,ez shifters,neutral,ez shifters,textMessageEvent,,22269.706
2026-05-04T19:56:56.643Z,UCWedfka4nrI8GYEMaCfCSqA,@skiran5054,top varus because it's op cheese,neutral,top varus because,textMessageEvent,,22270.535
2026-05-04T19:57:02.162Z,UCcnW8ol_dJe5nV2ZB6JUGpw,@sensaiko,here Goes the best ADC in lec,neutral,here goes the,textMessageEvent,,22276.185
2026-05-04T19:57:04.304Z,UCbHaB7UofkDCNoZ73O1DZTQ,@buggydev-t7b,Just /surrendet,neutral,just surrendet,textMessageEvent,,22278.327
2026-05-04T19:57:05.133Z,UCoj9bARHtPLmFY6loWZwwwQ,@Runaway1907,"I feel sorry for Jojo, he has to play with four helpless guys.",neutral,i feel sorry,textMessageEvent,,22279.155
