stream_id,timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec,duration_sec,relative_time,rel_time_pct,rel_bin_20,rel_bin_label
oxUSw1N9i3k,2026-05-04T15:32:30.792Z,UCIYbG6Hzl5m_1M9VHRaQuWA,@AAA4722-s7o,he is going full ad cuz they have ap top and mid but yh weird build,neutral,he is going,textMessageEvent,,6403.538,24477.876,0.26160513273292174,26.160513273292175,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:31.570Z,UCYZlM3C2FQWpyK9ESEYOLMQ,@b4kl4v4lol,vladi same damage as braum almost,neutral,vladi same damage,textMessageEvent,,6404.379,24477.876,0.26163949028910843,26.163949028910842,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:34.366Z,UC3yWrTwluQykhleGtmuImjg,@PhoenixStarrwind,Ezreal is STILL overpowered after 6 years?,questioning,question,textMessageEvent,,6407.247,24477.876,0.26175665731781633,26.175665731781635,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:41.343Z,UCIWIi-5urOL2XqQUQRljh6w,@Byenthooven,God pls save FNATIC,neutral,god pls save,textMessageEvent,,6414.299,24477.876,0.2620447542098832,26.20447542098832,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:42.677Z,UCYGDjcECxp7NAa-Qsq1g0UA,@CheesySanchez,Play around ezreal!! Hes so safe from Vi/Ornn!Kaisa dive. ,neutral,play around ezreal,textMessageEvent,,6415.577,24477.876,0.2620969646222573,26.20969646222573,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:43.676Z,UCnFle475vrDc-JCdwHZWDhQ,@2311ANKK5,upset >>>>>>>> peys,neutral,upset peys,textMessageEvent,,6416.433,24477.876,0.2621319349767112,26.21319349767112,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:43.961Z,UCdU9wE92p6Kf56g-Q3Yo3rA,@klementzhobro1152,that kaisa build same as my aram games,neutral,that kaisa build,textMessageEvent,,6416.684,24477.876,0.26214218913438403,26.2142189134384,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:46.038Z,UCPJ7ELWQkVwveADc9hAsqNg,@MrTnbopp123,8-1 upset,neutral,8 1 upset,textMessageEvent,,6418.76,24477.876,0.26222700041457847,26.22270004145785,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:48.074Z,UCV9h9tOg9Z6wsafuaJhuVjw,@IKARNIFEX,Audio delayed af ,neutral,audio delayed af,textMessageEvent,,6420.884,24477.876,0.2623137726492282,26.231377264922823,5,25-30%
oxUSw1N9i3k,2026-05-04T15:32:52.913Z,UCVwJ86nVeHMEXsaG-wC7RAw,@NightcorePiika,@PhoenixStarrwind not op but in good hands a good champ,neutral,phoenixstarrwind not op,textMessageEvent,,6425.749,24477.876,0.26251252355392274,26.251252355392275,5,25-30%
